site,Observer,date,year,month,day,time,hour,minutes,interval,num.arrive,num.depart,net.arrival
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:20,20,20,20:00,10,,10
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:25,20,25,20:00,43,,43
botany_point,Felicia Sanders,4-May-19,2019,5,4,18:54,18,54,18:30,4,,4
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:17,19,17,19:00,60,,60
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:20,19,20,19:00,130,,130
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:20,19,20,19:00,300,,300
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:24,19,24,19:00,40,,40
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:24,19,24,19:00,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:24,19,24,19:00,100,,100
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:24,19,24,19:00,30,,30
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:30,19,30,19:30,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:30,19,30,19:30,420,,420
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:30,19,30,19:30,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:30,19,30,19:30,30,,30
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:30,19,30,19:30,31,,31
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:30,19,30,19:30,42,,42
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:30,19,30,19:30,8,,8
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:48,19,48,19:30,35,,35
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:48,19,48,19:30,120,,120
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:48,19,48,19:30,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,26,,26
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,40,,40
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,6,,6
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,280,,280
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,18,,18
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,19,,19
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,10,,10
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,30,,30
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,30,,30
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,100,,100
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,40,,40
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,25,,25
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,60,,60
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,60,,60
